 ,Aichi,Akita,Aomori,Chiba,Ehime,Fukui,Fukuoka,Fukushima,Gifu,Gunma,Hiroshima,Hokkaido,Hyogo,Ibaraki,Ishikawa,Iwate,Kagawa,Kagoshima,Kanagawa,Kochi,Kumamoto,Kyoto,Mie,Miyagi,Miyazaki,Nagano,Nagasaki,Nara,Niigata,Oita,Okayama,Okinawa,Osaka,Saga,Saitama,Shiga,Shimane,Shizuoka,Tochigi,Tokushima,Tokyo,Tottori,Toyama,Wakayama,Yamagata,Yamaguchi,Yamanashi
2004,0,0,0.0298,0,0,0,0,0,0.0043,0,0.0426,0.034,0,0,0,0,0,0.0085,0,0,0,0.234,0,0,0,0.0043,0,0.0128,0,0,0.0085,0.0043,0.0979,0,0,0,0,0,0,0,0.5191,0,0,0,0,0,0
2005,0.0033,0.0065,0.0033,0,0,0.0033,0.0033,0,0,0,0.0392,0.1176,0,0,0,0,0,0,0,0,0,0.2582,0.0065,0,0,0.0327,0.0065,0.0065,0.0033,0,0.0065,0.0621,0.1046,0,0,0.0033,0.0033,0.0033,0,0,0.3072,0,0,0,0.0033,0.0163,0
2006,0.0026,0.0051,0.0077,0,0,0,0.0051,0,0,0.0026,0.0716,0.0614,0,0,0,0,0,0,0,0.0102,0,0.3197,0,0,0,0,0.0026,0.0102,0,0.0077,0.0102,0.0102,0.0997,0,0,0.0128,0,0,0,0,0.3478,0,0.0051,0,0,0.0026,0.0051
2007,0.0003,0.0027,0.006,0.0048,0.0001,0.002,0.0135,0.0009,0.0024,0.0026,0.0342,0.0373,0.0007,0.0007,0.0001,0.0003,0.0003,0.0054,0.0009,0.0033,0.0038,0.2065,0.0009,0.0004,0.0018,0.0162,0.0031,0.032,0.0046,0.0018,0.0058,0.0102,0.1524,0.0007,0.0016,0.0021,0,0.0041,0.0014,0.0046,0.418,0.0001,0.0031,0.003,0.0022,0.0008,0.0004
2008,0.0005,0.0028,0.0087,0.0034,0.0003,0.0006,0.0225,0.0015,0.0022,0.0025,0.0421,0.0367,0.0002,0.0001,0.0004,0.0006,0.0005,0.0054,0.0007,0.0011,0.0096,0.2139,0.0006,0.0005,0.0028,0.0165,0.0075,0.0374,0.0029,0.0032,0.0065,0.0079,0.1638,0.0011,0.0021,0.0034,0,0.0028,0.0002,0.002,0.3694,0,0.0062,0.0041,0.0019,0.0001,0.0009
2009,0.0008,0.0041,0.0095,0.0035,0.0001,0.0006,0.0162,0.0004,0.0037,0.0009,0.0559,0.0349,0.0003,0.0003,0.0006,0.0008,0.0001,0.0048,0.001,0.002,0.0069,0.2129,0.0007,0.0003,0.0015,0.0194,0.0069,0.0296,0.0041,0.0018,0.0087,0.0106,0.1404,0.0012,0.0018,0.0036,0.0002,0.0042,0.0008,0.0018,0.3854,0.0017,0.009,0.0018,0.0026,0.0011,0.0006
2010,0.0003,0.0034,0.0101,0.0028,0.0001,0.0004,0.0214,0.0023,0.0034,0.0011,0.0457,0.0418,0.0001,0.0004,0.0004,0.0003,0.0001,0.0088,0.0006,0.0014,0.0076,0.2197,0.0007,0.001,0.0018,0.0149,0.0061,0.048,0.0043,0.0014,0.0114,0.005,0.1409,0.0014,0.0014,0.0035,0.0003,0.0041,0.0004,0.0012,0.3645,0.0013,0.0076,0.0016,0.0044,0.0003,0.0005
2011,0.0009,0.0063,0.0091,0.0025,0.0001,0.001,0.024,0.0091,0.0015,0.0014,0.045,0.0386,0.0004,0.0003,0.0003,0.0008,0.0001,0.0076,0.0008,0.0008,0.0099,0.2063,0.0008,0.001,0.0037,0.0163,0.0082,0.0407,0.0041,0.0018,0.0085,0.0052,0.1531,0.0014,0.0015,0.0032,0.0001,0.004,0.0006,0.0027,0.3594,0.0022,0.0076,0.0022,0.0035,0.001,0.0006
2012,0.0007,0.0018,0.0076,0.0027,0.0001,0.0004,0.0196,0.0023,0.003,0.0012,0.0501,0.0249,0.0004,0.0004,0.0002,0.0003,0.0001,0.0095,0.0003,0.0008,0.0098,0.2343,0.0011,0.0002,0.0019,0.0154,0.0081,0.0444,0.0027,0.0024,0.0091,0.0055,0.1784,0.0015,0.0018,0.0014,0.0003,0.0021,0.0005,0.0008,0.3325,0.0017,0.0109,0.0022,0.0023,0.0009,0.0014
2013,0.0004,0.0034,0.0066,0.0014,0.0004,0.0009,0.0182,0.0017,0.0037,0.0014,0.0521,0.0278,0.0008,0.0007,0.0001,0.0005,0.0005,0.0086,0.0009,0.0019,0.0061,0.2249,0.0009,0.0005,0.0036,0.0129,0.0065,0.0466,0.0029,0.0012,0.0102,0.0089,0.1835,0.0024,0.0005,0.0023,0.0002,0.0021,0.0009,0.0017,0.3241,0.0014,0.0124,0.0076,0.0023,0.0007,0.0008
